mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
200303,0.10%,0.93%,0.02%,1.02%,-19.67%,0.36%,-2.20%,6.46%,5.65%,3.81%,3.44%,-1.47%,0.94%,-3.25%,-2.06%,-4.42%,-3.64%,-5.46%,-4.52%,-3.29%,1.21%,4.37%,-0.66%,0.45%,-2.26%,0.71%,4.42%,-0.66%,5.47%,5.18%,0.20%,5.05%
200304,0.10%,8.18%,4.17%,2.18%,2.74%,14.78%,8.11%,3.43%,7.52%,4.34%,9.94%,12.61%,7.58%,10.22%,8.71%,10.06%,18.85%,9.09%,6.31%,2.46%,-0.60%,7.47%,11.49%,8.38%,10.58%,3.09%,10.59%,5.77%,9.72%,9.52%,11.15%,13.67%
200305,0.09%,6.26%,5.19%,10.21%,32.46%,6.71%,6.48%,2.88%,4.00%,4.07%,0.82%,3.77%,10.68%,13.13%,6.19%,5.78%,3.72%,11.34%,10.76%,24.74%,8.79%,10.13%,6.29%,5.97%,14.08%,2.73%,4.55%,6.82%,2.50%,8.40%,5.58%,-1.00%
200306,0.10%,1.53%,0.69%,0.82%,10.90%,5.06%,-1.53%,-2.57%,-0.37%,4.11%,-1.15%,-2.37%,0.10%,2.15%,2.46%,-0.76%,2.58%,6.41%,6.08%,0.94%,-1.22%,0.68%,1.91%,1.04%,0.32%,1.16%,-0.14%,4.53%,2.79%,6.70%,0.64%,0.80%
200307,0.07%,2.24%,0.29%,-1.84%,-11.30%,-0.49%,-1.08%,0.80%,3.65%,0.41%,7.89%,13.64%,0.66%,6.92%,9.56%,6.47%,6.23%,4.28%,11.09%,-11.89%,-2.67%,-5.21%,-1.91%,2.64%,8.54%,4.79%,1.62%,-0.98%,4.30%,2.31%,4.36%,0.23%
200308,0.07%,2.43%,0.08%,-2.05%,2.53%,4.58%,0.70%,1.22%,5.03%,-2.77%,1.69%,6.33%,5.60%,4.62%,7.80%,6.61%,8.70%,7.98%,8.77%,7.11%,6.30%,1.90%,1.18%,3.76%,8.22%,3.65%,1.45%,3.14%,7.94%,0.84%,-0.53%,3.58%
200309,0.08%,-0.99%,1.72%,-1.55%,8.10%,-2.94%,-0.09%,2.19%,-1.34%,0.24%,-6.02%,-3.13%,-0.15%,-3.16%,-7.76%,-4.43%,-5.08%,-6.78%,-0.42%,-2.15%,-2.33%,3.88%,-5.65%,0.58%,-2.61%,-2.15%,-1.44%,0.47%,-5.82%,1.96%,0.59%,-0.20%
200310,0.07%,5.96%,4.17%,5.71%,6.13%,4.57%,7.51%,4.34%,12.19%,0.73%,6.62%,3.43%,10.54%,19.21%,12.29%,10.11%,9.35%,11.11%,13.25%,9.80%,1.47%,1.54%,6.81%,3.27%,13.12%,7.92%,9.23%,4.63%,9.87%,6.91%,6.97%,-0.88%
200311,0.07%,1.59%,2.42%,2.35%,11.59%,5.04%,2.08%,-0.89%,3.54%,1.76%,2.86%,-0.87%,3.91%,3.56%,3.75%,7.30%,3.71%,-0.29%,10.08%,1.44%,0.62%,0.94%,-0.70%,1.09%,3.07%,0.96%,-1.23%,4.28%,-0.47%,3.93%,0.95%,0.03%
200312,0.08%,4.47%,1.67%,6.64%,5.67%,5.90%,3.01%,2.26%,0.83%,5.66%,9.56%,1.11%,4.38%,10.65%,3.93%,6.01%,14.77%,10.91%,3.40%,25.57%,13.49%,5.85%,7.64%,4.88%,-0.03%,8.91%,1.48%,3.30%,-3.22%,-0.41%,4.13%,8.22%
200401,0.07%,2.23%,1.25%,-2.89%,2.05%,0.18%,1.20%,2.21%,-2.02%,3.10%,-1.94%,1.05%,-2.18%,0.05%,-1.32%,-0.81%,-2.60%,2.43%,-9.86%,-7.19%,0.53%,1.92%,1.41%,3.78%,4.90%,-3.48%,-3.83%,2.95%,-0.21%,0.53%,3.38%,6.06%
200402,0.06%,1.49%,6.22%,2.57%,3.82%,1.40%,1.06%,2.96%,5.51%,0.89%,2.66%,10.62%,6.73%,6.35%,0.58%,-3.21%,-1.24%,-0.72%,6.00%,6.99%,4.67%,2.07%,-0.52%,-2.68%,-2.73%,3.46%,0.37%,2.28%,6.74%,7.24%,2.89%,-1.98%
200403,0.09%,-1.16%,1.66%,-0.20%,-4.03%,1.43%,-0.14%,1.54%,3.09%,-3.95%,-1.65%,-2.11%,3.51%,-4.51%,1.17%,0.67%,-2.07%,-4.73%,2.54%,6.79%,-0.21%,1.13%,-2.07%,-1.48%,-2.60%,0.72%,-0.45%,2.13%,-0.13%,0.82%,-0.67%,-4.74%
200404,0.08%,-2.50%,3.10%,0.38%,1.90%,-2.32%,-0.20%,2.22%,-1.57%,3.54%,-0.62%,-3.86%,-4.36%,-8.70%,-2.57%,-2.52%,3.68%,2.49%,-17.15%,2.63%,2.52%,-3.55%,-0.48%,-0.67%,-8.18%,1.31%,0.21%,0.91%,-3.21%,-1.00%,-4.37%,-1.44%
200405,0.06%,1.35%,-1.37%,2.26%,-12.61%,0.94%,0.47%,1.54%,0.42%,-0.43%,0.60%,-4.82%,2.08%,5.85%,2.00%,0.67%,-2.81%,0.91%,5.93%,6.59%,0.32%,1.28%,-2.95%,2.56%,6.92%,0.56%,1.90%,0.18%,0.74%,-2.99%,1.54%,3.45%
200406,0.08%,2.08%,2.34%,-0.24%,6.02%,3.45%,-2.00%,2.23%,4.34%,-0.50%,5.43%,2.74%,1.60%,9.36%,6.01%,6.64%,5.68%,8.96%,0.06%,13.39%,5.46%,2.01%,0.82%,3.72%,1.12%,5.10%,6.39%,2.70%,-0.32%,-0.61%,0.54%,5.00%
200407,0.10%,-3.87%,-5.24%,-10.04%,-3.76%,-6.46%,-4.35%,-5.22%,-5.23%,-5.97%,-3.31%,-1.78%,-3.54%,-0.19%,-5.71%,-7.04%,-3.66%,0.92%,2.71%,-1.24%,3.32%,1.00%,-1.09%,-6.16%,-10.22%,-5.28%,-4.44%,-11.35%,-3.47%,2.62%,-2.25%,0.26%
200408,0.11%,0.16%,-0.06%,1.88%,3.19%,-1.34%,0.00%,4.61%,-0.02%,1.63%,2.97%,1.21%,4.04%,-0.27%,-2.52%,0.78%,-3.41%,0.07%,5.91%,-4.64%,-1.22%,3.60%,1.13%,-2.85%,-5.71%,0.12%,-0.94%,-2.48%,-0.81%,-2.58%,3.15%,-0.83%
200409,0.11%,1.94%,-0.80%,-7.93%,-2.48%,4.63%,1.27%,-2.87%,2.79%,-1.37%,4.34%,2.96%,4.88%,7.86%,6.03%,2.50%,2.11%,0.56%,6.84%,8.48%,8.93%,1.36%,1.39%,4.25%,2.32%,-0.12%,3.20%,-0.03%,2.89%,4.85%,0.15%,2.00%
200410,0.11%,1.67%,3.61%,1.08%,2.84%,2.73%,2.31%,-3.58%,5.05%,-2.41%,0.46%,6.07%,0.73%,-3.62%,-0.82%,3.21%,-4.32%,-2.36%,-1.49%,0.14%,0.66%,4.17%,3.46%,4.20%,5.30%,-3.34%,6.74%,2.70%,3.31%,2.98%,0.62%,0.69%
200411,0.15%,4.67%,3.35%,-0.69%,17.41%,6.92%,2.74%,4.06%,4.01%,0.65%,8.75%,5.27%,6.78%,12.96%,7.65%,7.77%,8.06%,6.78%,3.99%,25.36%,6.38%,5.05%,3.55%,6.43%,5.43%,5.79%,5.40%,8.39%,2.47%,7.40%,4.66%,3.59%
200412,0.16%,3.36%,5.02%,4.37%,7.48%,7.78%,1.19%,4.17%,5.62%,5.66%,2.82%,4.12%,6.16%,-1.74%,3.23%,3.81%,5.01%,0.49%,-2.97%,-2.76%,-2.11%,2.41%,4.22%,3.23%,3.21%,3.62%,4.13%,5.95%,3.06%,5.07%,4.21%,3.70%
